O2.UC12-2	ERS199182
O2.UC12-0	ERS199181
O2.UC11-2	ERS199180
O2.UC11-0	ERS199179
O2.UC1-2	ERS199178
O2.UC1-0	ERS199177
MH0186	ERS199176
MH0185	ERS199175
MH0184	ERS199174
MH0183	ERS199173
MH0182	ERS199172
MH0181	ERS199171
MH0180	ERS199170
MH0179	ERS199169
MH0178	ERS199168
MH0177	ERS199167
MH0175	ERS199166
MH0174	ERS199165
MH0173	ERS199164
MH0172	ERS199163
MH0170	ERS199162
MH0169	ERS199161
MH0168	ERS199160
MH0167	ERS199159
MH0166	ERS199158
MH0165	ERS199157
MH0164	ERS199156
MH0163	ERS199155
MH0162	ERS199154
MH0160	ERS199153
MH0159	ERS199152
MH0158	ERS199151
MH0157	ERS199150
MH0156	ERS199149
MH0155	ERS199148
MH0154	ERS199147
MH0153	ERS199146
MH0152	ERS199145
MH0151	ERS199144
MH0149	ERS199143
MH0148	ERS199142
MH0147	ERS199141
MH0146	ERS199140
MH0145	ERS199139
MH0144	ERS199138
MH0143	ERS199137
MH0142	ERS199136
MH0141	ERS199135
MH0140	ERS199134
MH0139	ERS199133
MH0138	ERS199132
MH0137	ERS199131
MH0136	ERS199130
MH0135	ERS199129
MH0134	ERS199128
MH0133	ERS199127
MH0132	ERS199126
MH0130	ERS199125
MH0129	ERS199124
MH0128	ERS199123
MH0127	ERS199122
MH0126	ERS199121
MH0125	ERS199120
MH0124	ERS199119
MH0123	ERS199118
MH0122	ERS199117
MH0121	ERS199116
MH0120	ERS199115
MH0118	ERS199114
MH0117	ERS199113
MH0116	ERS199112
MH0115	ERS199111
MH0114	ERS199110
MH0113	ERS199109
MH0111	ERS199108
MH0110	ERS199107
MH0109	ERS199106
MH0107	ERS199105
MH0106	ERS199104
MH0105	ERS199103
MH0104	ERS199102
MH0103	ERS199101
MH0102	ERS199100
MH0101	ERS199099
MH0100	ERS199098
MH0099	ERS199097
MH0098	ERS199096
MH0097	ERS199095
MH0096	ERS199094
MH0095	ERS199093
MH0094	ERS199092
MH0093	ERS199091
MH0092	ERS199090
MH0091	ERS199089
MH0090	ERS199088
MH0089	ERS199087
MH0088	ERS199086
MH0087	ERS199085
MH0086	ERS199084
MH0085	ERS199083
MH0084	ERS199082
MH0083	ERS199081
MH0082	ERS199080
MH0081	ERS199079
MH0080	ERS199078
MH0079	ERS199077
MH0078	ERS199076
MH0077	ERS199075
MH0076	ERS199074
MH0075	ERS199073
MH0074	ERS199072
MH0073	ERS199071
MH0072	ERS199070
MH0071	ERS199069
MH0070	ERS199068
MH0069	ERS199067
MH0068	ERS199066
MH0067	ERS199065
MH0066	ERS199064
MH0065	ERS199063
MH0064	ERS199062
MH0063	ERS199061
MH0062	ERS199060
MH0061	ERS199059
MH0060	ERS199058
MH0059	ERS199057
MH0058	ERS199056
MH0057	ERS199055
MH0056	ERS199054
MH0055	ERS199053
MH0054	ERS199052
MH0053	ERS199051
MH0052	ERS199050
MH0051	ERS199049
MH0050	ERS199048
MH0049	ERS199047
MH0048	ERS199046
MH0047	ERS199045
MH0046	ERS199044
MH0045	ERS199043
MH0044	ERS199042
MH0043	ERS199041
MH0042	ERS199040
MH0041	ERS199039
MH0040	ERS199038
MH0039	ERS199037
MH0038	ERS199036
MH0037	ERS199035
MH0036	ERS199034
MH0035	ERS199033
MH0034	ERS199032
MH0033	ERS199031
MH0032	ERS199030
MH0031	ERS199029
MH0030	ERS199028
MH0028	ERS199027
MH0027	ERS199026
MH0026	ERS199025
MH0025	ERS199024
MH0024	ERS199023
MH0023	ERS199022
MH0022	ERS199021
MH0021	ERS199020
MH0020	ERS199019
MH0019	ERS199018
MH0018	ERS199017
MH0017	ERS199016
MH0016	ERS199015
MH0015	ERS199014
MH0014	ERS199013
MH0013	ERS199012
MH0012	ERS199011
MH0011	ERS199010
MH0010	ERS199009
MH0009	ERS199008
MH0008	ERS199007
MH0007	ERS199006
MH0006	ERS199005
MH0005	ERS199004
MH0004	ERS199003
MH0003	ERS199002
MH0002	ERS199001
MH0001	ERS199000
